epoch,train_loss,val_loss,val_dice,val_acc,val_auc,val_precision,val_recall,val_f1,val_iou,test_loss,test_dice,test_acc,test_auc,test_precision,test_recall,test_f1,test_iou
1,0.394801,0.323753,0.789385,0.904638,0.955276,0.895094,0.975899,0.933752,0.875736,,,,,,,,
2,0.268995,0.241662,0.836797,0.930352,0.973889,0.928290,0.974114,0.950650,0.905942,,,,,,,,
3,0.219787,0.197900,0.862703,0.941250,0.980282,0.949316,0.966277,0.957722,0.918873,,,,,,,,
4,0.189870,0.191698,0.877200,0.933431,0.978890,0.927382,0.980079,0.953003,0.910224,,,,,,,,
5,0.182907,0.174405,0.884383,0.939969,0.980606,0.957486,0.955243,0.956363,0.916375,,,,,,,,
6,0.162109,0.182541,0.892508,0.930178,0.980654,0.918434,0.986194,0.951108,0.906775,,,,,,,,
7,0.158006,0.161561,0.900342,0.941130,0.981525,0.940788,0.975937,0.958041,0.919460,,,,,,,,
8,0.150987,0.175273,0.897832,0.932405,0.979465,0.924375,0.982200,0.952411,0.909145,,,,,,,,
9,0.144765,0.180655,0.896064,0.933125,0.975911,0.931149,0.974982,0.952562,0.909420,,,,,,,,
10,0.140929,0.148598,0.907350,0.944316,0.983442,0.959106,0.960076,0.959591,0.922320,,,,,,,,
11,0.137984,0.164050,0.899434,0.935904,0.982197,0.968810,0.937094,0.952688,0.909651,,,,,,,,
12,0.134108,0.169210,0.908712,0.935688,0.980458,0.929218,0.981367,0.954581,0.913108,,,,,,,,
13,0.129432,0.149229,0.900782,0.941467,0.984886,0.970819,0.943359,0.956892,0.917347,,,,,,,,
14,0.127072,0.146211,0.912684,0.944378,0.983764,0.950095,0.970191,0.960038,0.923146,,,,,,,,
15,0.120649,0.153494,0.913899,0.940573,0.984107,0.935176,0.981759,0.957901,0.919204,,,,,,,,
16,0.120530,0.135832,0.913969,0.947529,0.986103,0.958979,0.965088,0.962024,0.926827,,,,,,,,
17,0.114494,0.148310,0.917668,0.942430,0.984535,0.941234,0.977428,0.958990,0.921210,,,,,,,,
18,0.113521,0.136785,0.918452,0.946989,0.985648,0.957917,0.965436,0.961661,0.926154,,,,,,,,
19,0.110350,0.138243,0.913710,0.947026,0.985488,0.957616,0.965823,0.961702,0.926229,,,,,,,,
20,0.106636,0.140372,0.921954,0.946197,0.986514,0.944749,0.979134,0.961634,0.926104,,,,,,,,
test,,,,,,,,,,0.150066,0.921670,0.941457,0.984446,0.947116,0.966898,0.956905,0.917371
