epoch,train_loss,val_loss,val_dice,val_acc,val_auc,val_precision,val_recall,val_f1,val_iou,test_loss,test_dice,test_acc,test_auc,test_precision,test_recall,test_f1,test_iou
1,0.439618,0.331622,0.767737,0.917782,0.957666,0.945805,0.933382,0.939553,0.885997,,,,,,,,
2,0.296607,0.263913,0.816596,0.928249,0.964838,0.954849,0.93962,0.947173,0.899648,,,,,,,,
3,0.246612,0.237663,0.849342,0.926849,0.962135,0.927069,0.969406,0.947765,0.900716,,,,,,,,
4,0.220304,0.217332,0.8561,0.928853,0.968204,0.960035,0.934994,0.947349,0.899966,,,,,,,,
5,0.204994,0.215395,0.87609,0.924144,0.964542,0.915622,0.979453,0.946463,0.898367,,,,,,,,
6,0.197651,0.19477,0.880835,0.934216,0.968997,0.948152,0.956193,0.952156,0.90868,,,,,,,,
7,0.191201,0.194448,0.887121,0.932468,0.967787,0.943146,0.959173,0.951092,0.906745,,,,,,,,
8,0.182643,0.199893,0.886277,0.928051,0.967392,0.92645,0.972072,0.948713,0.90243,,,,,,,,
9,0.181424,0.191434,0.890515,0.932488,0.968839,0.948747,0.952857,0.950798,0.90621,,,,,,,,
10,0.17612,0.193633,0.894341,0.930332,0.968632,0.928642,0.972998,0.950303,0.905311,,,,,,,,
11,0.172636,0.181627,0.89499,0.93634,0.970506,0.948137,0.959493,0.953781,0.911646,,,,,,,,
12,0.167892,0.178831,0.897298,0.937052,0.971415,0.949321,0.959258,0.954264,0.912528,,,,,,,,
13,0.168768,0.182073,0.894807,0.935995,0.970381,0.943487,0.964262,0.953761,0.91161,,,,,,,,
14,0.16523,0.185203,0.890073,0.935282,0.970357,0.951402,0.954203,0.952801,0.909856,,,,,,,,
15,0.160997,0.188386,0.898947,0.933426,0.968208,0.942864,0.960986,0.951838,0.908103,,,,,,,,
16,0.160658,0.198572,0.886439,0.92802,0.968702,0.956745,0.937227,0.946885,0.899128,,,,,,,,
17,0.161706,0.183568,0.891497,0.934705,0.970631,0.951011,0.95375,0.952379,0.909087,,,,,,,,
18,0.156714,0.191194,0.891257,0.930657,0.968305,0.947305,0.951643,0.949469,0.903799,,,,,,,,
19,0.155473,0.175799,0.901809,0.938304,0.972311,0.946263,0.964658,0.955372,0.914557,,,,,,,,
20,0.153073,0.179399,0.903458,0.936639,0.971304,0.941453,0.967618,0.954357,0.912698,,,,,,,,
test,,,,,,,,,,0.233838,0.891135,0.91058,0.96218,0.904475,0.969354,0.935791,0.879331
