epoch,train_loss,val_loss,val_dice,val_acc,val_auc,test_loss,test_dice,test_acc,test_auc
1,0.434188,0.432127,0.759343,0.78852,0.923269,,,,
2,0.335402,0.343163,0.78464,0.899607,0.954661,,,,
3,0.294436,0.301049,0.800411,0.915092,0.968763,,,,
4,0.27193,0.299284,0.808734,0.905707,0.96843,,,,
5,0.258245,0.264837,0.817916,0.931645,0.975811,,,,
6,0.239593,0.249443,0.822618,0.936066,0.978122,,,,
7,0.22969,0.242777,0.834307,0.932647,0.977726,,,,
8,0.227918,0.286813,0.828521,0.896063,0.962346,,,,
9,0.223981,0.228747,0.832063,0.937331,0.980416,,,,
10,0.213037,0.223436,0.846928,0.934659,0.977847,,,,
11,0.204404,0.215742,0.850656,0.936625,0.98005,,,,
12,0.191446,0.205083,0.856806,0.939783,0.981154,,,,
13,0.182404,0.201684,0.85848,0.94065,0.981212,,,,
14,0.178352,0.208408,0.864532,0.931124,0.979619,,,,
15,0.176881,0.208005,0.867891,0.929075,0.978333,,,,
16,0.170534,0.195201,0.872243,0.935576,0.980934,,,,
17,0.169809,0.185053,0.868777,0.942177,0.982658,,,,
18,0.163216,0.182555,0.874452,0.941535,0.981057,,,,
19,0.155082,0.180398,0.876452,0.941689,0.981789,,,,
20,0.152258,0.176601,0.877323,0.94226,0.982262,,,,
test,,,,,,0.189597,0.877373,0.934223,0.979357
