epoch,train_loss,val_loss,val_dice,val_acc,val_auc,test_loss,test_dice,test_acc,test_auc
1,0.470118,0.421599,0.746574,0.840810,0.927968,,,,
2,0.353089,0.332554,0.781025,0.906733,0.962008,,,,
3,0.306477,0.300488,0.796785,0.918987,0.970660,,,,
4,0.278537,0.273840,0.798735,0.930130,0.977117,,,,
5,0.263418,0.259094,0.806787,0.932318,0.979654,,,,
6,0.251633,0.243561,0.826922,0.937547,0.978894,,,,
7,0.238038,0.235182,0.828816,0.938458,0.980115,,,,
8,0.232221,0.227753,0.833484,0.938473,0.980093,,,,
9,0.223455,0.219379,0.843098,0.939338,0.980384,,,,
10,0.210620,0.211144,0.850043,0.941341,0.981014,,,,
11,0.203214,0.206406,0.849830,0.940440,0.981600,,,,
12,0.197143,0.201024,0.860537,0.940832,0.980559,,,,
13,0.189428,0.197317,0.863186,0.941448,0.980898,,,,
14,0.184636,0.192948,0.869033,0.940828,0.981232,,,,
15,0.180418,0.189783,0.871992,0.940228,0.980751,,,,
16,0.173122,0.181738,0.873295,0.944000,0.982410,,,,
17,0.170385,0.179919,0.877518,0.942663,0.982142,,,,
18,0.168335,0.176186,0.877244,0.944369,0.982764,,,,
19,0.171771,0.176292,0.882185,0.943170,0.981928,,,,
20,0.160450,0.180774,0.884031,0.938984,0.980843,,,,
test,,,,,,0.192194,0.883424,0.932435,0.978537
