epoch,train_loss,val_loss,val_dice,val_acc,val_auc,test_loss,test_dice,test_acc,test_auc,,,,,,,
1,0.390161,0.366751,0.776796,0.869383,0.94736,,,,,,,,,,,
2,0.264509,0.235164,0.834989,0.936504,0.976852,,,,,,,,,,,
3,0.207694,0.197527,0.865503,0.9402,0.979222,,,,,,,,,,,
4,0.187202,0.226161,0.872828,0.911143,0.97519,,,,,,,,test_loss,test_dice,test_acc,test_auc
5,0.170081,0.171628,0.891234,0.939498,0.981088,,,,,,,geom,0.151443,0.917795,0.939909,0.983746
6,0.159216,0.179852,0.892718,0.932133,0.979642,,,,,,,unet,0.189597,0.877373,0.934223,0.979357
7,0.151717,0.164064,0.901229,0.939473,0.980777,,,,,,,,,0.040422,0.005686,0.004389
8,0.147162,0.154434,0.904688,0.943154,0.98261,,,,,,,,,,,
9,0.139699,0.160994,0.905246,0.938755,0.981317,,,,,,,,,,,
10,0.132126,0.155613,0.910203,0.941477,0.982593,,,,,,,,,,,
11,0.132193,0.175142,0.901939,0.931297,0.978314,,,,,,,,,,,
12,0.133261,0.142181,0.908664,0.946043,0.984918,,,,,,,,,,,
13,0.126644,0.13988,0.913574,0.94689,0.985284,,,,,,,,,,,
14,0.124102,0.173343,0.908716,0.931232,0.98179,,,,,,,,,,,
15,0.125384,0.146877,0.911977,0.944191,0.983314,,,,,,,,,,,
16,0.121146,0.143112,0.907756,0.944484,0.985001,,,,,,,,,,,
17,0.116346,0.143886,0.914263,0.944794,0.984943,,,,,,,,,,,
18,0.11905,0.144795,0.914939,0.944154,0.984051,,,,,,,,,,,
19,0.113091,0.136921,0.919779,0.947618,0.985888,,,,,,,,,,,
20,0.116583,0.144132,0.907629,0.942815,0.985437,,,,,,,,,,,
test,,,,,,0.151443,0.917795,0.939909,0.983746,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Pretrain,,,,,,U-Net,,,,,,,,,,
epoch,train_loss,val_loss,val_dice,val_acc,val_auc,epoch,train_loss,val_loss,val_dice,val_acc,val_auc,,,,,
1,0.390161,0.366751,0.776796,0.869383,0.94736,1,0.434188,0.432127,0.759343,0.78852,0.923269,,,,,
2,0.264509,0.235164,0.834989,0.936504,0.976852,2,0.335402,0.343163,0.78464,0.899607,0.954661,,,,,
3,0.207694,0.197527,0.865503,0.9402,0.979222,3,0.294436,0.301049,0.800411,0.915092,0.968763,,,,,
4,0.187202,0.226161,0.872828,0.911143,0.97519,4,0.27193,0.299284,0.808734,0.905707,0.96843,,,,,
5,0.170081,0.171628,0.891234,0.939498,0.981088,5,0.258245,0.264837,0.817916,0.931645,0.975811,,,,,
6,0.159216,0.179852,0.892718,0.932133,0.979642,6,0.239593,0.249443,0.822618,0.936066,0.978122,,,,,
7,0.151717,0.164064,0.901229,0.939473,0.980777,7,0.22969,0.242777,0.834307,0.932647,0.977726,,,,,
8,0.147162,0.154434,0.904688,0.943154,0.98261,8,0.227918,0.286813,0.828521,0.896063,0.962346,,,,,
9,0.139699,0.160994,0.905246,0.938755,0.981317,9,0.223981,0.228747,0.832063,0.937331,0.980416,,,,,
10,0.132126,0.155613,0.910203,0.941477,0.982593,10,0.213037,0.223436,0.846928,0.934659,0.977847,,,,,
11,0.132193,0.175142,0.901939,0.931297,0.978314,11,0.204404,0.215742,0.850656,0.936625,0.98005,,,,,
12,0.133261,0.142181,0.908664,0.946043,0.984918,12,0.191446,0.205083,0.856806,0.939783,0.981154,,,,,
13,0.126644,0.13988,0.913574,0.94689,0.985284,13,0.182404,0.201684,0.85848,0.94065,0.981212,,,,,
14,0.124102,0.173343,0.908716,0.931232,0.98179,14,0.178352,0.208408,0.864532,0.931124,0.979619,,,,,
15,0.125384,0.146877,0.911977,0.944191,0.983314,15,0.176881,0.208005,0.867891,0.929075,0.978333,,,,,
16,0.121146,0.143112,0.907756,0.944484,0.985001,16,0.170534,0.195201,0.872243,0.935576,0.980934,,,,,
17,0.116346,0.143886,0.914263,0.944794,0.984943,17,0.169809,0.185053,0.868777,0.942177,0.982658,,,,,
18,0.11905,0.144795,0.914939,0.944154,0.984051,18,0.163216,0.182555,0.874452,0.941535,0.981057,,,,,
19,0.113091,0.136921,0.919779,0.947618,0.985888,19,0.155082,0.180398,0.876452,0.941689,0.981789,,,,,
20,0.116583,0.144132,0.907629,0.942815,0.985437,20,0.152258,0.176601,0.877323,0.94226,0.982262,,,,,
