epoch,train_loss,val_loss,val_dice,val_acc,val_auc,val_precision,val_recall,val_f1,val_iou,test_loss,test_dice,test_acc,test_auc,test_precision,test_recall,test_f1,test_iou
1,0.395698,0.302326,0.797895,0.921048,0.962999,0.935761,0.950612,0.943128,0.892376,,,,,,,,
2,0.263916,0.239307,0.839343,0.928378,0.972604,0.926249,0.973511,0.949292,0.903479,,,,,,,,
3,0.211086,0.193724,0.863365,0.939979,0.979666,0.955473,0.957461,0.956466,0.916565,,,,,,,,
4,0.186580,0.185165,0.882867,0.936412,0.979089,0.931216,0.980055,0.955011,0.913896,,,,,,,,
5,0.173981,0.164472,0.887665,0.943528,0.982355,0.956294,0.961961,0.959119,0.921449,,,,,,,,
6,0.161733,0.174691,0.896251,0.934964,0.980511,0.926995,0.982974,0.954164,0.912345,,,,,,,,
7,0.158378,0.207076,0.889123,0.921388,0.974565,0.905771,0.988703,0.945422,0.896492,,,,,,,,
8,0.152038,0.156331,0.898794,0.941829,0.983237,0.965198,0.949776,0.957425,0.918326,,,,,,,,
9,0.143284,0.160745,0.907295,0.939590,0.981495,0.937248,0.977741,0.957066,0.917667,,,,,,,,
10,0.135016,0.147832,0.905034,0.944279,0.984059,0.962480,0.956367,0.959414,0.921994,,,,,,,,
11,0.136433,0.156308,0.907785,0.939592,0.982574,0.938786,0.975915,0.956991,0.917528,,,,,,,,
12,0.131987,0.152877,0.911119,0.941525,0.982137,0.953196,0.962341,0.957747,0.918920,,,,,,,,
13,0.129185,0.152245,0.912949,0.941185,0.982828,0.942812,0.973652,0.957984,0.919357,,,,,,,,
14,0.125704,0.141626,0.913416,0.946200,0.984529,0.953980,0.968601,0.961235,0.925363,,,,,,,,
15,0.126610,0.146839,0.917473,0.944017,0.984321,0.943929,0.976726,0.960047,0.923165,,,,,,,,
16,0.123774,0.163533,0.914062,0.936852,0.982260,0.929603,0.982722,0.955424,0.914653,,,,,,,,
17,0.121069,0.142663,0.916713,0.945136,0.984710,0.948900,0.972714,0.960660,0.924297,,,,,,,,
18,0.119282,0.137466,0.915142,0.947163,0.985546,0.957679,0.965962,0.961802,0.926416,,,,,,,,
19,0.113477,0.172390,0.913444,0.933155,0.980462,0.925254,0.982286,0.952918,0.910069,,,,,,,,
20,0.115222,0.146323,0.909358,0.943184,0.984129,0.964528,0.952527,0.958490,0.920288,,,,,,,,
test,,,,,,,,,,0.159814,0.916816,0.937853,0.982062,0.945823,0.962692,0.954183,0.912380
